price,area_m2,room_count,district,neighborhood,total_rooms,walkability_score
55000.0,110.0,3+1,Üsküdar,Selami Ali,4.0,52.38
46000.0,95.0,2+1,Ünalan,Ünalan,3.0,10.0
51000.0,160.0,4+1,Ünalan,Ünalan,5.0,10.0
52000.0,120.0,3+1,Bulgurlu,Cumhuriyet,4.0,10.0
55000.0,170.0,4+1,Üsküdar,Selami Ali,5.0,52.38
52000.0,90.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
49000.0,75.0,2+1,Üsküdar,Murat Reis,3.0,52.38
50000.0,140.0,3+1,Merkez,Aziz Mahmut Hüdayi,4.0,10.0
48000.0,90.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
55000.0,125.0,3+1,Merkez,Zeynep Kamil,4.0,10.0
50000.0,110.0,3+1,Üsküdar,İcadiye,4.0,52.38
52000.0,119.0,3+1,Ferah,Merkez,4.0,10.0
55000.0,150.0,2+1,Üsküdar,Selami Ali,3.0,52.38
48000.0,120.0,3+1,Bulgurlu,Merkez,4.0,10.0
47500.0,105.0,2+1,Ferah,Kısıklı,3.0,10.0
52000.0,80.0,2+1,Üsküdar,Kirazlıtepe,3.0,52.38
55000.0,110.0,2+1,Merkez,Salacak,3.0,10.0
50000.0,95.0,2+1,Bahçelievler,Bahçelievler,3.0,10.0
50000.0,74.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
50000.0,110.0,3+1,Üsküdar,Valide-i Atik,4.0,52.38
55000.0,100.0,2+1,Bahçelievler,Bahçelievler,3.0,10.0
49000.0,60.0,2+1,Kadıköy,Acıbadem,3.0,74.31
49000.0,120.0,3+1,Bahçelievler,Bahçelievler,4.0,10.0
48000.0,125.0,3+1,Merkez,Salacak,4.0,10.0
53000.0,130.0,3+1,Ünalan,Ünalan,4.0,10.0
49000.0,130.0,3+1,Ferah,Merkez,4.0,10.0
49000.0,60.0,1+1,Merkez,Mimar Sinan,2.0,10.0
54000.0,105.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
52000.0,120.0,3+1,Bulgurlu,Merkez,4.0,10.0
52000.0,100.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
49000.0,100.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
55000.0,110.0,2+1,Bahçelievler,Bahçelievler,3.0,10.0
65000.0,130.0,3+1,Ünalan,Ünalan,4.0,10.0
60000.0,70.0,1+1,Kadıköy,Acıbadem,2.0,74.31
61000.0,145.0,3+1,Üsküdar,Küçüksu,4.0,52.38
58500.0,159.0,3+1,Üsküdar,Küçüksu,4.0,52.38
56500.0,135.0,3+1,Bulgurlu,Cumhuriyet,4.0,10.0
65000.0,105.0,2+1,Üsküdar,Beylerbeyi,3.0,52.38
70000.0,143.0,1+1,Bahçelievler,Bahçelievler,2.0,10.0
65000.0,135.0,3+1,Üsküdar,Barbaros,4.0,52.38
65000.0,110.0,3+1,Merkez,Mimar Sinan,4.0,10.0
60000.0,115.0,3+1,Bahçelievler,Bahçelievler,4.0,10.0
65000.0,150.0,4+1,Üsküdar,İcadiye,5.0,52.38
67500.0,80.0,2+1,Üsküdar,Selami Ali,3.0,52.38
62000.0,115.0,3+1,Üsküdar,Mehmet Akif Ersoy,4.0,52.38
75000.0,95.0,2+1,Üsküdar,Altunizade,3.0,52.38
56000.0,130.0,3+1,Ferah,Merkez,4.0,10.0
